lambda_s,protocol,seed,success_probability,mean_aoi_s,mean_semantic_distortion,energy_efficiency,goodput_bits,transmitted
120,DR8,0,1.342732460557234e-05,599.9615487436178,0.35074946127049833,0.007670477689813705,80.0,74475
120,DR8,1,0.0,600.0,0.35122189624994926,0.0,0.0,74157
120,DR9,0,0.00010747199011257692,599.861795422512,0.35277200384004065,0.09917317853294122,640.0,74438
120,DR9,1,0.00012043839576056847,599.7428486639569,0.3546822689702545,0.11113833951034423,720.0,74727
120,Semantic,0,0.2614618338934229,494.2584449262069,0.41525954783646496,257.00490492533845,348560.0,16664
120,Semantic,1,0.2474600439664904,498.200994915386,0.41500323512400283,243.87360976906456,333200.0,16831
300,DR8,0,0.03214032241711447,575.4546456760288,0.5256491747368107,18.36044284961847,76080.0,29589
300,DR8,1,0.03021407131312465,576.3910961264169,0.525683233484122,17.260054905470525,73280.0,30317
300,DR9,0,0.05760214333556597,557.2692378089365,0.5280788573786015,53.15419988886434,137600.0,29860
300,DR9,1,0.05614460264566293,558.3445064111628,0.5286812797923778,51.80920811093818,133440.0,29709
300,Semantic,0,0.2614618338934229,494.2584449262069,0.41525954783646496,257.00490492533845,348560.0,16664
300,Semantic,1,0.2474600439664904,498.200994915386,0.41500323512400283,243.87360976906456,333200.0,16831
600,DR8,0,0.39433785052998793,469.3145838064267,0.642285739749689,225.2689775209392,470240.0,14906
600,DR8,1,0.4016949152542373,468.5520313436469,0.6366624371660822,229.47176567774275,474000.0,14750
600,DR9,0,0.3431510994553157,483.2556477382854,0.6392413555091521,316.6535319054606,408240.0,14871
600,DR9,1,0.3422841375597281,484.71699052305695,0.6389574346102543,315.8535153917411,406880.0,14859
600,Semantic,0,0.2614618338934229,494.2584449262069,0.41525954783646496,257.00490492533845,348560.0,16664
600,Semantic,1,0.2474600439664904,498.200994915386,0.41500323512400283,243.87360976906456,333200.0,16831
1200,DR8,0,0.80659195781147,465.59590047254426,0.6904304916859825,460.7727748391406,489440.0,7585
1200,DR8,1,0.8046462513199577,464.9115208806747,0.7031189280998943,459.6612728331572,487680.0,7576
1200,DR9,0,0.6776087536696024,484.397729811718,0.693348169816389,625.2849122153905,406240.0,7494
1200,DR9,1,0.6769251265654144,484.6694623967227,0.6981021384970021,624.6540736798548,406480.0,7506
1200,Semantic,0,0.2614618338934229,494.2584449262069,0.41525954783646496,257.00490492533845,348560.0,16664
1200,Semantic,1,0.2474600439664904,498.200994915386,0.41500323512400283,243.87360976906456,333200.0,16831
