devices,nodes_simulated,protocol,seed,success_probability,mean_aoi_s,mean_semantic_distortion,energy_efficiency_bits_per_j,goodput_bits,total_tx_airtime_s,transmitted_packets
10000,1250,DR8,0,0.9296785882037174,293.92317430135347,0.7579457969793626,531.0870988070487,1108400.0,20870.399648000053,14903
10000,1250,DR8,1,0.9265680433763973,295.363169554122,0.7736849098977528,529.3101726209333,1107360.0,20920.814624000028,14939
10000,1250,DR8,2,0.9260716223548562,302.139588010002,0.7787876127989497,529.0265877309917,1092320.0,20647.733504000014,14744
10000,1250,DR9,0,0.8128253036167089,330.09893333160335,0.7530147343777813,750.0602609780616,974480.0,12992.02278400005,14986
10000,1250,DR9,1,0.8138786456587328,333.39525521713796,0.7612178098983211,751.0322656676608,971120.0,12930.469760000035,14915
10000,1250,DR9,2,0.8152647563713191,330.90056877403055,0.7666257655905153,752.3113431744775,987840.0,13130.73382400002,15146
10000,1250,Semantic,0,0.9796091758708582,778.2241608924046,0.892748160390319,868.6686947824677,276720.0,3185.5643200000004,3531
10000,1250,Semantic,1,0.9690376569037656,773.4940913331641,0.8846059189201686,859.8000870254305,277920.0,3232.379296,3585
10000,1250,Semantic,2,0.9725643896976484,767.5324866233852,0.8992760515659349,862.7191090484702,277920.0,3221.442496,3572
20000,2500,DR8,0,0.6653643677780353,394.0039659481034,0.760124299809838,380.0952675650865,1607680.0,42296.764448,30203
20000,2500,DR8,1,0.6680375443600544,390.73040567246983,0.7665185552599345,381.6223432808834,1611360.0,42223.942816000155,30151
20000,2500,DR8,2,0.6760067114093959,390.65158560732397,0.7765128557918648,386.17480029328107,1611600.0,41732.3968000001,29800
20000,2500,DR9,0,0.5513416578108395,462.24657492567144,0.7640753870797178,508.76795531045195,1328160.0,26105.417728000422,30112
20000,2500,DR9,1,0.5488168156106704,465.6221912246786,0.7695350409841168,506.43807730202906,1311760.0,25901.685888000356,29877
20000,2500,DR9,2,0.5452880452880453,462.3501328529154,0.7693491701422484,503.1817928613965,1310000.0,26034.32832000034,30030
20000,2500,Semantic,0,0.9363648967142659,784.8399750511247,0.8877669031262563,831.0437139772264,540320.0,6501.703712,7213
20000,2500,Semantic,1,0.9317835893178359,793.3683886498956,0.9010907190450406,827.2506780949484,538720.0,6512.173568,7227
20000,2500,Semantic,2,0.9280585473626071,792.137101637286,0.8994376689083275,823.5452430465688,537680.0,6528.845920000001,7242
30000,3750,DR8,0,0.38892987280084057,614.3053699923811,0.7704750495834863,222.1796225126477,1391840.0,62644.80892800007,44733
30000,3750,DR8,1,0.3951956258683279,602.2921192572308,0.7716673899504071,225.7589892536659,1410880.0,62494.9644160001,44626
30000,3750,DR8,2,0.3911075254358836,612.2409901388706,0.7716509589801271,223.42362580026682,1396160.0,62489.36275200009,44622
30000,3750,DR9,0,0.3316439447592068,676.3171340779908,0.7665574645612745,306.0349409043287,1198800.0,39171.99769600045,45184
30000,3750,DR9,1,0.3290797708826326,683.389390772075,0.7700606856077719,303.6687683473241,1190400.0,39200.606848000534,45217
30000,3750,DR9,2,0.33589783731800593,679.3440936408583,0.7705757030046607,309.96035482614985,1201520.0,38763.66707200044,44713
30000,3750,Semantic,0,0.8806202973022573,815.164090321597,0.8957881645294632,781.9835271523681,767760.0,9818.109632000002,10898
30000,3750,Semantic,1,0.8820681465241619,822.278121550077,0.8957875594034049,783.1630380345075,772480.0,9863.591136000001,10947
30000,3750,Semantic,2,0.8789566508864755,823.1055084186694,0.8954401780984466,779.4956639839558,757520.0,9718.078432,10773
40000,5000,DR8,0,0.18376745815882128,977.2578509895477,0.7643466729117554,104.97878239541566,881040.0,83925.5304639992,59929
40000,5000,DR8,1,0.1887345653157304,967.2085631698258,0.7703678673402412,107.81628619823357,901200.0,83586.62979199937,59687
40000,5000,DR8,2,0.18501791517373553,973.0659880386138,0.766316327343974,105.69311700165531,888160.0,84031.96207999902,60005
40000,5000,DR9,0,0.19357160793504646,952.9689567682352,0.7661481688078842,178.62432446390673,925040.0,51786.899840000005,59735
40000,5000,DR9,1,0.192327717966375,956.036621129072,0.7736068979082538,177.47648564740035,916080.0,51616.978816000046,59539
40000,5000,DR9,2,0.1921762754804407,957.0532021720837,0.7686075751642871,177.3367373029312,922400.0,52014.039168000054,59997
40000,5000,Semantic,0,0.8246989638756651,868.6736112242721,0.8880141841182627,732.5702811634587,942400.0,12864.294720000002,14284
40000,5000,Semantic,1,0.827356772657235,856.9058163124461,0.8886985599619304,734.42444961947,945040.0,12867.763328000001,14278
40000,5000,Semantic,2,0.8257168771366776,864.6309591351047,0.8945544494681464,731.7720805649562,946800.0,12938.454816000001,14333
50000,6250,DR8,0,0.07613522704540908,1355.6252244082593,0.7599895801686407,43.49292041531105,456720.0,105010.19375999832,74985
50000,6250,DR8,1,0.07955048938655496,1340.1242283238232,0.774526903271956,45.44391917062144,474000.0,104304.38409599832,74481
50000,6250,DR8,2,0.08080022526448465,1333.447108340883,0.7695685126573247,46.15784182099345,482080.0,104441.62486399894,74579
50000,6250,DR9,0,0.10467292218034058,1235.6242465050418,0.7650963781596768,96.59025005568148,626480.0,64859.548415999794,74814
50000,6250,DR9,1,0.1063175761463721,1233.134180332597,0.7698334243492252,98.10790652810114,636400.0,64867.35091199967,74823
50000,6250,DR9,2,0.10618019759450172,1227.1378063224156,0.7714248301243303,97.98113612367314,632800.0,64583.860223999756,74496
50000,6250,Semantic,0,0.756968983117393,913.240656470204,0.8862282633935894,673.5378345515473,1079680.0,16029.982944000001,17829
50000,6250,Semantic,1,0.7552158875376548,913.184345685616,0.8913138282538261,670.7199980112839,1083040.0,16147.423712000002,17926
50000,6250,Semantic,2,0.7521657041314971,911.6751050666445,0.8889166640055576,669.0608200084095,1083600.0,16195.837024,18008
60000,7500,DR8,0,0.029442516462003916,1607.1599568366728,0.7659832695662939,16.819297387064662,211760.0,125903.00006399778,89904
60000,7500,DR8,1,0.030790420757986405,1593.7184795247535,0.7633792895759911,17.589299612679056,221760.0,126076.6516479978,90028
60000,7500,DR8,2,0.030860335195530726,1603.1794878675119,0.7695153983698779,17.629238852187484,220960.0,125337.23199999792,89500
60000,7500,DR9,0,0.05710393496806467,1451.3297121301002,0.7710225943500719,52.69446235795168,409120.0,77640.03686399946,89556
60000,7500,DR9,1,0.055388803963356804,1461.3639030338807,0.7722228374368041,51.11177096869656,397120.0,77696.3882239996,89621
60000,7500,DR9,2,0.055726034122990056,1460.746426836193,0.7707558070840389,51.422960766084366,399520.0,77692.92044799966,89617
60000,7500,Semantic,0,0.6927267647606631,960.7082064724252,0.8898235453986618,616.3084139637655,1190160.0,19311.110688,21476
60000,7500,Semantic,1,0.693570008782878,959.85045295468,0.8947974721194022,615.9096908056671,1200320.0,19488.571424,21633
60000,7500,Semantic,2,0.6902504922837386,950.7783326542379,0.8961947987370797,613.2711975022847,1205840.0,19662.426752000003,21837
70000,8750,DR8,0,0.010882372663786414,1723.1724180058163,0.7662937790657353,6.2166514314527035,90880.0,146188.02582399768,104389
70000,8750,DR8,1,0.011287457743654385,1723.5181425248043,0.7658071317508343,6.448059858587504,94560.0,146648.76268799725,104718
